caseid,yyyymm,yyyyq,yyyy,id,idprev,datepr,ics,icc,ice,pago,pagor1,pagor2,pexp,inexq1,inexq2,inex,rinc,bago,bexp,bus12,bus5,news1,news2,unemp,govt,ratex,px1q1,px1q2,px1,px5q1,px5q2,px5,dur,durrn1,durrn2,hom,homrn1,homrn2,shom,shomrn1,shomrn2,car,carrn1,carrn2,income,incqfm,ytl10,ytl90,ytl50,ytl5,ytl4,ytl3,homeown,homeval,homeamt,homeqfm,invest,invamt,invqfm,age,birthm,birthy,region,sex,marry,numkid,numadt,race,educ,eclgrd,ehsgrd,egrade,vehown,vehnum,gaspx1,gaspx2,gas5,gas1px1,gas1px2,gas1,wt,FFR,INFLATION,UNRATE,CPI,SHILLER,MORTG,PAGO,PEXP,INEXQ1,INEX,RINC,BAGO,BEXP,BUS12,BUS5,UNEMP,GOVT,RATEX,PX1,PX5,DUR,HOM,SHOM,CAR,INCOME,HOMEOWN,HOMEVAL,AGE,BIRTHY,WEST,NORTHEAST,SOUTH,SEX,MARRY,NUMKID,NUMADT,FAMSIZE,AFRICAN,HISPANIC,NATIVE,ASIAN,ECLGRD,VEHOWN,VEHNUM,GASPX1,GAS5,GAS1PX1,GAS1,ZLB,CPIDURABLES,mm,BUS12AG,PX1DISP,VXO,INFLVOLA,first,second,single,CARLOAN,HOMPX1Q1,HOMPX1Q2,HOMPX1,HOMPX5Q1,HOMPX5Q2,HOMPX5,pjob,pssa,pinc,pcry,PINC2,pstk,PINC,PJOB,INFLQRTL,PX1LAG,DPX1,DURLAG,DDUR,PX1BAR,PX1MEAN,PX1STD,GOOD,DURRN1,CARRN1,HOMRN1,INFLFORW,SPF,OUTSIDE,GOOD2,fitted,resids
240295,201301,20131,2013,1084,238,201207,135.22,153.38,123.55,1,12,0,3,1,5,5,1,5,1,1,1,0,0,5,3,1,1,3,3,1,2,2,1,13,0,1,14,0,5,53,0,1,13,0,80000,1,5,5,5,4,3,2,1,3,80000,1,1,330000,1,65,5,1947,4,1,1,0,2,1,5,1,1,16,,,5,50,-50,3,,0,.5,.14,1.58,7.9000001,231.2,-19.93,3.4100001,1,0,1,5,1,-1,1,1,1,-1,0,1,3,2,1,1,-1,1,5.846499,1,0,65,1947,0,0,1,0,1,0,2,2,0,0,0,0,1,,,-1,-50,0,0,1,-6.0300002,1,-17.57,3.8800001,13.3,.12,0,1,0,,3,,0,1,1,1,0,90,60,1,100,80,60,0,2,3,0,1,0,0,4.3400002,3.8800001,1,13,13,14,,2.0999999,1,0,4.3742614,-1.3742613
240247,201301,20131,2013,1036,97,201207,150.02,153.38,147.86,1,19,16,1,1,1,1,5,1,1,1,1,23,36,5,3,3,1,2,2,1,2,2,1,42,0,1,12,0,5,52,61,1,12,33,175000,1,5,1,5,5,4,3,1,3,550000,1,1,2500000,1,66,9,1946,3,1,1,0,3,1,5,1,1,16,,,5,30,-30,5,50,-50,.5,.14,1.58,7.9000001,231.2,-19.93,3.4100001,1,1,1,1,-1,1,1,1,1,-1,0,0,2,2,1,1,-1,1,6.6292582,1,0,66,1946,0,1,0,0,1,0,3,3,0,0,0,0,1,,,-1,-30,-1,-50,1,-3.04,1,-17.57,3.8800001,13.3,.12,0,1,0,,1,2,2,1,3,3,0,20,5,1,0,75,5,0,1,0,2,1,0,1,4.3400002,3.8800001,1,42,12,12,,2.0999999,1,0,4.3821273,-2.3821273
240045,201301,20131,2013,134,,,105.61,77.690002,123.55,5,53,54,3,3,,0,5,1,1,1,1,23,44,3,3,3,1,10,10,1,2,2,1,11,0,1,16,12,5,52,61,1,12,19,55000,1,5,5,1,3,2,2,1,3,500000,1,1,70000,1,65,2,1947,3,1,1,0,2,5,5,1,1,16,,,1,87,87,1,75,75,.75,.14,1.58,7.9000001,231.2,-19.93,3.4100001,-1,0,0,0,-1,1,1,1,1,0,0,0,10,2,1,1,-1,1,5.4718056,1,0,65,1947,0,1,0,0,1,0,2,2,0,0,0,1,1,,,1,87,1,75,1,-3.04,1,-17.57,3.8800001,13.3,.12,0,0,1,,1,10,10,1,5,5,1,1,1,5,0,10,1,1,4,,,,,,4.3400002,3.8800001,0,11,12,16,,2.0999999,1,0,4.3742614,5.6257386
240374,201301,20131,2013,1163,231,201207,105.61,77.690002,123.55,5,57,58,3,1,2,2,3,1,1,1,1,45,0,3,3,3,1,3,3,1,3,3,1,16,0,1,16,12,5,52,0,1,21,0,112500,1,5,5,5,4,4,3,1,5,190000,1,1,190000,1,50,11,1962,3,1,1,0,2,1,3,5,1,12,,,1,100,100,1,25,25,.5,.14,1.58,7.9000001,231.2,-19.93,3.4100001,-1,0,1,2,0,1,1,1,1,0,0,0,3,3,1,1,-1,1,6.1874256,1,-1,50,1962,0,1,0,0,1,0,2,2,0,0,0,0,0,,,1,100,1,25,1,-3.04,1,-17.57,3.8800001,13.3,.12,0,1,0,,3,,0,1,5,5,20,60,50,3,50,70,50,20,2,5,-2,1,0,-1,4.3400002,3.8800001,1,16,21,16,,2.0999999,1,0,4.2562714,-1.2562714
240249,201301,20131,2013,1038,118,201207,16.799999,2,26.309999,5,56,52,3,1,5,5,3,5,5,5,5,59,0,1,5,3,1,4,4,1,4,4,5,62,0,1,11,16,5,51,0,5,62,0,50000,1,5,5,1,3,2,2,1,3,270000,1,1,100000,1,51,7,1961,3,1,1,0,2,1,5,1,1,16,,,1,100,100,1,25,25,.5,.14,1.58,7.9000001,231.2,-19.93,3.4100001,-1,0,1,5,0,-1,-1,-1,-1,1,-1,0,4,4,-1,1,-1,-1,5.3764954,1,0,51,1961,0,1,0,0,1,0,2,2,0,0,0,0,1,,,1,100,1,25,1,-3.04,1,-17.57,3.8800001,13.3,.12,0,1,0,,3,,0,1,1,1,0,60,80,5,90,85,80,0,3,5,-1,-1,0,-.5,4.3400002,3.8800001,1,62,62,11,,2.0999999,1,0,4.2641373,-.26413739
240142,201301,20131,2013,366,,,61.209999,115.53,26.309999,3,11,54,5,1,15,15,1,1,5,9,4,72,85,1,5,3,1,3,3,1,5,5,1,16,11,1,12,16,1,21,0,1,12,16,210000,1,5,1,5,5,4,3,1,1,280000,1,1,500000,1,47,9,1965,1,1,1,0,2,1,5,1,1,16,,,1,300,300,1,55,55,1.25,.14,1.58,7.9000001,231.2,-19.93,3.4100001,0,-1,1,15,1,1,-1,,-1,1,-1,0,3,5,1,1,1,1,6.8115797,1,1,47,1965,1,0,0,0,1,0,2,2,0,0,0,0,1,,,1,300,1,55,1,-3.96,1,-17.57,3.8800001,13.3,.12,0,0,1,,1,3,3,1,4,4,30,0,100,3,100,50,100,30,2,,,,,,4.3400002,3.8800001,0,16,12,12,,2.0999999,1,0,4.2326732,-1.2326734
240029,201301,20131,2013,118,,,2,2,2,5,53,54,5,5,2,-2,5,5,5,5,5,63,60,1,5,1,1,2,2,1,98,96,5,51,72,1,12,16,5,86,61,8,,,32500,1,5,5,1,2,2,1,1,5,165000,1,1,50000,1,76,8,1936,4,1,1,0,2,1,2,5,5,11,,,1,998,996,1,25,25,1,.14,1.58,7.9000001,231.2,-19.93,3.4100001,-1,-1,-1,-2,-1,-1,-1,-1,-1,1,-1,1,2,,-1,1,-1,,4.9457121,1,-1,76,1936,0,0,1,0,1,0,2,2,0,0,0,0,0,,,1,,1,25,1,-6.0300002,1,-17.57,3.8800001,13.3,.12,0,0,1,,1,998,996,1,998,996,0,15,10,5,0,30,10,0,1,,,,,,4.3400002,3.8800001,0,51,,12,,2.0999999,1,0,4.4607873,-2.4607873
240402,201301,20131,2013,1226,341,201207,2,2,2,5,52,63,5,5,50,-50,1,5,5,5,5,59,0,1,5,3,1,5,5,1,3,3,5,61,0,1,12,16,1,12,16,5,61,0,200000,1,5,1,5,5,4,3,1,3,650000,1,1,1200000,1,61,9,1951,1,1,1,0,2,1,5,1,1,16,,,1,300,300,1,100,100,1.5,.14,1.58,7.9000001,231.2,-19.93,3.4100001,-1,-1,-1,-50,1,-1,-1,-1,-1,1,-1,0,5,3,-1,1,1,-1,6.7627897,1,0,61,1951,1,0,0,0,1,0,2,2,0,0,0,0,1,,,1,300,1,100,1,-3.96,1,-17.57,3.8800001,13.3,.12,0,1,0,,3,,0,1,3,3,0,80,20,3,0,80,20,0,3,2,3,1,-1,1.5,4.3400002,3.8800001,1,61,61,12,,2.0999999,1,0,4.3427973,.65720266
240172,201301,20131,2013,396,,,90.809998,153.38,50.619999,1,12,0,3,1,98,96,1,3,5,8,5,0,0,3,5,1,1,2,2,1,2,2,1,41,0,1,12,0,5,52,0,1,12,0,24000,1,5,5,1,1,1,1,2,,,,5,,,23,1,1990,3,1,5,0,2,5,5,1,1,16,,,3,,0,3,,0,1.5,.14,1.58,7.9000001,231.2,-19.93,3.4100001,1,0,1,,1,0,-1,,-1,0,-1,1,2,2,1,1,-1,1,4.6425261,0,,23,1990,0,1,0,0,0,0,2,2,0,0,0,1,1,,,0,0,0,0,1,-3.04,1,-17.57,3.8800001,13.3,.12,0,0,1,,,,,,,,20,60,70,3,60,50,70,20,1,,,,,,4.3400002,3.8800001,0,41,12,12,,2.0999999,1,0,4.0438895,-2.0438895
239978,201301,20131,2013,67,,,76.010002,115.53,50.619999,3,0,0,3,1,1,1,5,1,1,9,4,45,0,3,3,1,1,2,2,1,1,1,1,11,14,1,21,57,8,,,1,30,21,30000,1,5,5,1,2,1,1,1,3,60000,1,1,50000,1,73,5,1939,2,1,1,0,2,1,6,1,1,17,,,1,33,33,3,,0,.5,.14,1.58,7.9000001,231.2,-19.93,3.4100001,0,0,1,1,-1,1,1,,-1,0,0,1,2,1,1,1,,1,4.8656697,1,0,73,1939,0,0,0,0,1,0,2,2,0,0,0,0,1,,,1,33,0,0,1,-4.0700002,1,-17.57,3.8800001,13.3,.12,0,0,1,,3,,0,3,,0,0,50,5,3,3,5,5,0,1,,,,,,4.3400002,3.8800001,0,11,30,21,,2.0999999,1,0,4.4371891,-2.4371893
